=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
			Sales.CodeSalesCategoryID	Sales Category	True	The sales category is the third level of categorization for sales records. Categories are the children of types, and grandchildren of groups. The default sales categories are Actual and Forecast. The system will not generate transactions for sales with a sales category of Forecast. 	The sales category is the third level of categorization for sales records. Categories are the children of types, and grandchildren of groups. The default sales categories are Actual and Forecast. The system will not generate transactions for sales with a sales category of Forecast. 
			Sales.BOMapClientRecordID	Sales ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			Sales.CodeSalesGroupID	Sales Group	True	The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 	The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 
			Sales.SalesID	Sales RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			Sales.CodeSalesTypeID	Sales Type	True	The sales type is the second level of categorization for sales records. Types are the children of groups, and parents of categories. 	The sales type is the second level of categorization for sales records. Types are the children of groups, and parents of categories. 
			Sales.UnitSalesCount	Unit Sales Count	True	Enter the sales unit count in this field if applicable.	Enter the sales unit count in this field if applicable.
			Sales.CodeUnitSalesTypeID	Unit Sales Type	False	Select the unit sales type from this field.	Select the unit sales type from this field.
		Sales Exclusion					
			SalesExclusion.BeginDate	Begin Date	True	The Begin Date field allows you to select a begin date for the record.	The Begin Date field allows you to select a begin date for the record.
			SalesExclusion.CapAmount	Cap Amount	True	A Sales Exclusion is a sales type that is excluded from percentage rent calculations until it meets a preset cap.  Enter the exclusion cap amount in this field.	A Sales Exclusion is a sales type that is excluded from percentage rent calculations until it meets a preset cap.  Enter the exclusion cap amount in this field.
			SalesExclusion.CapPercent	Cap Percent	True	A Sales Exclusion is a sales type that is excluded from percentage rent calculations until it meets a preset cap.  Enter the exclusion cap percent in this field.	A Sales Exclusion is a sales type that is excluded from percentage rent calculations until it meets a preset cap.  Enter the exclusion cap percent in this field.
			SalesExclusion.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.
			SalesExclusion.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			SalesExclusion.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			SalesExclusion.CodeCurrencyTypeID	Currency Type	True	The Currency Type field allows you to select a currency type to be used on a record.	The Currency Type field allows you to select a currency type to be used on a record.
			SalesExclusion.EndDate	End Date	True	The End Date field allows you to select an end date for the record.	The End Date field allows you to select an end date for the record.
			SalesExclusion.BOMapClientRecordID	Exclusion ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			SalesExclusion.ExclusionGroupCapID	Exclusion Group Cap	True	Select the exclusion group from this field.	Select the exclusion group from this field.
			SalesExclusion.ExclusionRate	Exclusion Rate	True	Enter the exclusion rate in this field. The Exclusion Rate is a percentage of the specified sales type.	Enter the exclusion rate in this field. The Exclusion Rate is a percentage of the specified sales type.
			SalesExclusion.SalesExclusionID	Exclusion RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			SalesExclusion.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			SalesExclusion.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			SalesExclusion.Notes	Notes	False	Add any notes about the record.	Add any notes about the record.
			SalesExclusion.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			SalesExclusion.CodeSalesGroupID	Sales Group	True	The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 	The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 
			SalesExclusion.CodeSalesTypeID	Sales Type	True	The sales type is the second level of categorization for sales records. Types are the children of groups, and parents of categories. 	The sales type is the second level of categorization for sales records. Types are the children of groups, and parents of categories. 
		Sales Exclusion Cap					
			SalesExclusionCap.BeginDate	Begin Date	True	The Begin Date field allows you to select a begin date for the record.	The Begin Date field allows you to select a begin date for the record.
			SalesExclusionCap.CapAmount	Cap Amount	True	Sales Exclusion Caps are groups which contain line items�Sales Exclusions. A sales exclusion cap group has a cap. To determine whether the cap has been met, you must sum the sales of each of the sales exclusions which belong to the group. Enter the sales exclusion cap amount in this field. Remember, Lucernex applies caps on an annual, not monthly, basis. 	Sales Exclusion Caps are groups which contain line items�Sales Exclusions. A sales exclusion cap group has a cap. To determine whether the cap has been met, you must sum the sales of each of the sales exclusions which belong to the group. Enter the sales exclusion cap amount in this field. Remember, Lucernex applies caps on an annual, not monthly, basis. 
			SalesExclusionCap.CapPercent	Cap Percent	True	Sales Exclusion Caps are groups which contain line items�Sales Exclusions. A sales exclusion cap group has a cap. To determine whether the cap has been met, you must sum the sales of each of the sales exclusions which belong to the group. Enter the sales exclusion cap percent in this field. The Exclusion Cap Percent is a percentage of Gross Sales. Remember, Lucernex applies caps on an annual, not monthly, basis.	Sales Exclusion Caps are groups which contain line items�Sales Exclusions. A sales exclusion cap group has a cap. To determine whether the cap has been met, you must sum the sales of each of the sales exclusions which belong to the group. Enter the sales exclusion cap percent in this field. The Exclusion Cap Percent is a percentage of Gross Sales. Remember, Lucernex applies caps on an annual, not monthly, basis.
			SalesExclusionCap.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.
			SalesExclusionCap.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			SalesExclusionCap.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			SalesExclusionCap.CodeCurrencyTypeID	Currency Type	True	The Currency Type field allows you to select a currency type to be used on a record.	The Currency Type field allows you to select a currency type to be used on a record.
			SalesExclusionCap.EndDate	End Date	True	The End Date field allows you to select an end date for the record.	The End Date field allows you to select an end date for the record.
			SalesExclusionCap.CodeExclusionCapID	Exclusion Cap	True	Select the exclusion group from this field.	Select the exclusion group from this field.
			SalesExclusionCap.BOMapClientRecordID	Exclusion Cap ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			SalesExclusionCap.SalesExclusionCapID	Exclusion Cap RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			SalesExclusionCap.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			SalesExclusionCap.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			SalesExclusionCap.Notes	Notes	False	Add any notes about the record.	Add any notes about the record.
			SalesExclusionCap.PRPComputedCapAmount	PRP Computed Cap Amount	True	This is a reporting field. If sales exclusion caps are configured, The cap amount computed from sales for a particular percentage rent year.	This is a reporting field. If sales exclusion caps are configured, The cap amount computed from sales for a particular percentage rent year.
			SalesExclusionCap.PRPExcessExcludedAmount	PRP Excess Excluded Amount	True	This is a reporting field. The value of this field is equal to the Gross Excluded Amount minus the Net Excluded Amount. 	This is a reporting field. The value of this field is equal to the Gross Excluded Amount minus the Net Excluded Amount. 
			SalesExclusionCap.PRPGrossExcludedAmount	PRP Gross Excluded Amount	True	This is a reporting field. The value of this field is calculated by summing the excluded sales across sales periods. This value is also used in calculating the amount of sales exceeding the cap amount.	This is a reporting field. The value of this field is calculated by summing the excluded sales across sales periods. This value is also used in calculating the amount of sales exceeding the cap amount.
			SalesExclusionCap.PRPGrossSalesAmount	PRP Gross Sales Amount	True	This is a reporting field. The value of this field is calculated by summing gross sales amounts across all applicable sales periods. The value of this field is also used in calculating the computed cap amount. 	This is a reporting field. The value of this field is calculated by summing gross sales amounts across all applicable sales periods. The value of this field is also used in calculating the computed cap amount. 
			SalesExclusionCap.PRPNetExcludedAmount	PRP Net Excluded Amount	True	This is a reporting field. The value of this field is either the Gross Excluded Amount or the Computed Cap Amount, depending on whether the Gross Excluded Amount is greater than the Cap Amount or not. This field is used to calculate the amount of sales exceeding the cap amount.	This is a reporting field. The value of this field is either the Gross Excluded Amount or the Computed Cap Amount, depending on whether the Gross Excluded Amount is greater than the Cap Amount or not. This field is used to calculate the amount of sales exceeding the cap amount.
			SalesExclusionCap.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			SalesExclusionCap.CodeSalesGroupID	Sales Group	True	The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 	The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 
			SalesExclusionCap.SPExcludedAmount	SP Excluded Amount	True	This is a reporting field. This field sums the total amount excludes from sales. 	This is a reporting field. This field sums the total amount excludes from sales. 
		Sales Period					
			VirtualSalesPeriod.PRPBreakpointAmount1	Breakpoint Amount #1	True	This field gets breakpoint amount #1.	This field gets breakpoint amount #1.
			VirtualSalesPeriod.PRPBreakpointAmount2	Breakpoint Amount #2	True	This field gets breakpoint amount #2.	This field gets breakpoint amount #2.
			VirtualSalesPeriod.PRPBreakpointAmount3	Breakpoint Amount #3	True	This field gets breakpoint amount #3.	This field gets breakpoint amount #3.
			VirtualSalesPeriod.PRPBreakpointAmount4	Breakpoint Amount #4	True	This field gets breakpoint amount #4.	This field gets breakpoint amount #4.
			VirtualSalesPeriod.PRPBreakpointAmount5	Breakpoint Amount #5	True	This field gets breakpoint amount #5.	This field gets breakpoint amount #5.
			VirtualSalesPeriod.PRPBreakpointAmount6	Breakpoint Amount #6	True	This field gets breakpoint amount #6.	This field gets breakpoint amount #6.
			VirtualSalesPeriod.PRPBreakpointAmount7	Breakpoint Amount #7	True	This field gets breakpoint amount #7.	This field gets breakpoint amount #7.
			VirtualSalesPeriod.PRPBreakpointAmount8	Breakpoint Amount #8	True	This field gets breakpoint amount #8.	This field gets breakpoint amount #8.
			VirtualSalesPeriod.PRPBreakpointRate1	Breakpoint Rate #1	True	This field gets breakpoint rate #1.	This field gets breakpoint rate #1.
			VirtualSalesPeriod.PRPBreakpointRate2	Breakpoint Rate #2	True	This field gets breakpoint rate #2.	This field gets breakpoint rate #2.
			VirtualSalesPeriod.PRPBreakpointRate3	Breakpoint Rate #3	True	This field gets breakpoint rate #3.	This field gets breakpoint rate #3.
			VirtualSalesPeriod.PRPBreakpointRate4	Breakpoint Rate #4	True	This field gets breakpoint rate #4.	This field gets breakpoint rate #4.
			VirtualSalesPeriod.PRPBreakpointRate5	Breakpoint Rate #5	True	This field gets breakpoint rate #5.	This field gets breakpoint rate #5.
			VirtualSalesPeriod.PRPBreakpointRate6	Breakpoint Rate #6	True	This field gets breakpoint rate #6.	This field gets breakpoint rate #6.
			VirtualSalesPeriod.PRPBreakpointRate7	Breakpoint Rate #7	True	This field gets breakpoint rate #7.	This field gets breakpoint rate #7.
			VirtualSalesPeriod.PRPBreakpointRate8	Breakpoint Rate #8	True	This field gets breakpoint rate #8.	This field gets breakpoint rate #8.
			VirtualSalesPeriod.PRPBreakpointRent	Breakpoint Rent	True	The amount of rent for the period, computed from the breakpoints. This field does not take cap / floor amounts or prior payments into account.	The amount of rent for the period, computed from the breakpoints. This field does not take cap / floor amounts or prior payments into account.
			VirtualSalesPeriod.SalesMonth	Calendar Month	False	The month of the sales period.	The month of the sales period.
			VirtualSalesPeriod.SalesMonthYearText	Calendar Month/Year	False	The month and year of the sales period.	The month and year of the sales period.
			VirtualSalesPeriod.SalesMonthYearSort	Calendar Month/Year Date	False	This field displays the calendar month and year as Calendar Month / Year.	This field displays the calendar month and year as Calendar Month / Year.
			VirtualSalesPeriod.SalesYear	Calendar Year	False	The year of the sales period.	The year of the sales period.
			VirtualSalesPeriod.PRPCapFloorAdjustedRent	Cap / Floor Adjusted Rent	True	The breakpoint rent with the cap or floor amounts applied. This value is used in calculating the rent due for the current sales period as well as the total rent up to and including the current sales period.	The breakpoint rent with the cap or floor amounts applied. This value is used in calculating the rent due for the current sales period as well as the total rent up to and including the current sales period.
			VirtualSalesPeriod.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.
			VirtualSalesPeriod.ExcludedSalesPeriodAmount	Excluded Sales Amount	True	The excluded amount for the sales period.	The excluded amount for the sales period.
			VirtualSalesPeriod.ExcludedSalesPeriodCount	Excluded Sales Count	True	The number of sales excluded for the sales period.	The number of sales excluded for the sales period.
			VirtualSalesPeriod.SalesPeriodSort	Fiscal Period/Year			
			VirtualSalesPeriod.GrossSalesPeriodAmount	Gross Sales Amount	True	The gross sales amount for the percentage rent period.	The gross sales amount for the percentage rent period.
			VirtualSalesPeriod.GrossSalesPeriodCount	Gross Sales Count	True	The gross sales count for the percentage rent period.	The gross sales count for the percentage rent period.
			VirtualSalesPeriod.IsActual	Is Actual?	True	If true, the sales are actual sales. If false, the sales are forecast sales.	If true, the sales are actual sales. If false, the sales are forecast sales.
			VirtualSalesPeriod.SalesPeriodText	Matching Fiscal Period/Year	False	The periods involved for the current sales month, separated by a comma if there is more than one.	The periods involved for the current sales month, separated by a comma if there is more than one.
			VirtualSalesPeriod.NetSalesPeriodAmount	Net Sales Amount	True	The net sales amount for the percentage rent period.	The net sales amount for the percentage rent period.
			VirtualSalesPeriod.NetSalesPeriodCount	Net Sales Count	True	The net sales count for the percentage rent period.	The net sales count for the percentage rent period.
			VirtualSalesPeriod.SalesPeriodRentPaid	Period Rent Paid	True	The total amount of percent rent paid for the given sales period. This value is used in calculating the total rent paid across a date range.	The total amount of percent rent paid for the given sales period. This value is used in calculating the total rent paid across a date range.
			VirtualSalesPeriod.PRPBreakpointRentDue1	Rent Due #1	True	Calculates the percentage rent due for sales exceeding breakpoint #1.	Calculates the percentage rent due for sales exceeding breakpoint #1.
			VirtualSalesPeriod.PRPBreakpointRentDue2	Rent Due #2	True	Calculates the percentage rent due for sales exceeding breakpoint #2.	Calculates the percentage rent due for sales exceeding breakpoint #2.
			VirtualSalesPeriod.PRPBreakpointRentDue3	Rent Due #3	True	Calculates the percentage rent due for sales exceeding breakpoint #3.	Calculates the percentage rent due for sales exceeding breakpoint #3.
			VirtualSalesPeriod.PRPBreakpointRentDue4	Rent Due #4	True	Calculates the percentage rent due for sales exceeding breakpoint #4.	Calculates the percentage rent due for sales exceeding breakpoint #4.
			VirtualSalesPeriod.PRPBreakpointRentDue5	Rent Due #5	True	Calculates the percentage rent due for sales exceeding breakpoint #5.	Calculates the percentage rent due for sales exceeding breakpoint #5.
			VirtualSalesPeriod.PRPBreakpointRentDue6	Rent Due #6	True	Calculates the percentage rent due for sales exceeding breakpoint #6.	Calculates the percentage rent due for sales exceeding breakpoint #6.
			VirtualSalesPeriod.PRPBreakpointRentDue7	Rent Due #7	True	Calculates the percentage rent due for sales exceeding breakpoint #7.	Calculates the percentage rent due for sales exceeding breakpoint #7.
			VirtualSalesPeriod.PRPBreakpointRentDue8	Rent Due #8	True	Calculates the percentage rent due for sales exceeding breakpoint #8.	Calculates the percentage rent due for sales exceeding breakpoint #8.
			VirtualSalesPeriod.BillingBucketBeginDate	Rent Period Begin Date	True	The begin date of the rent period. It is used for multiple percent rent calculations. For per period and period gross up, this date is used as the offset begin date and it is also used in calculating the prorated rent amount and count.	The begin date of the rent period. It is used for multiple percent rent calculations. For per period and period gross up, this date is used as the offset begin date and it is also used in calculating the prorated rent amount and count.
			VirtualSalesPeriod.BillingBucketCapAmount	Rent Period Cap Amount	True	The cap amount for the rent period, depending upon the calculation model.	The cap amount for the rent period, depending upon the calculation model.
			VirtualSalesPeriod.BillingBucketEndDate	Rent Period End Date	True	The end date of the current rent period.	The end date of the current rent period.
			VirtualSalesPeriod.BillingBucketFloorAmount	Rent Period Floor Amount	True	The floor amount for the current rent period, prorated based on the frequency and the calculation model.	The floor amount for the current rent period, prorated based on the frequency and the calculation model.
			VirtualSalesPeriod.BillingBucketDueDate	Rent Period Payment Due Date	True	The date that rent payment is due. This date is used to determine which fiscal period to add the percent rent floor to for expense forecasts.	The date that rent payment is due. This date is used to determine which fiscal period to add the percent rent floor to for expense forecasts.
			VirtualSalesPeriod.PRPSalesAmount	Rent Period Sales Amount	True	The total sales for the percentage rent period.	The total sales for the percentage rent period.
			VirtualSalesPeriod.PRPSalesCount	Rent Period Sales Count	True	The total sales count for the percentage rent period.	The total sales count for the percentage rent period.
			VirtualSalesPeriod.ReportingBucketBeginDate	Reporting Period Begin Date	True	The begin date of the percentage rent reporting period.	The begin date of the percentage rent reporting period.
			VirtualSalesPeriod.ReportingBucketDueDate	Reporting Period Due Date	True	The due date of the percentage rent reporting period.	The due date of the percentage rent reporting period.
			VirtualSalesPeriod.ReportingBucketEndDate	Reporting Period End Date	True	The end date of the percentage rent reporting period.	The end date of the percentage rent reporting period.
			VirtualSalesPeriod.ReportingBucketGrossSalesAmount	Reporting Period Gross Sales Amount	True	The gross sales amount for the percentage rent reporting period.	The gross sales amount for the percentage rent reporting period.
			VirtualSalesPeriod.ReportingBucketNetSalesAmount	Reporting Period Net Sales Amount	True	The net sales amount for the percentage rent reporting period.	The net sales amount for the percentage rent reporting period.
			VirtualSalesPeriod.CodeSalesGroupID	Sales Group	True	The sales group. The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 	The sales group. The sales group is the first level of categorization for sales records. Groups are the parents of types, and grandparents of categories. 
			VirtualSalesPeriod.PRPSalesPastBreakpoint1	Sales Past Breakpoint #1	True	Calculates the amount of sales that exceed breakpoint #1.	Calculates the amount of sales that exceed breakpoint #1.
			VirtualSalesPeriod.PRPSalesPastBreakpoint2	Sales Past Breakpoint #2	True	Calculates the amount of sales that exceed breakpoint #2.	Calculates the amount of sales that exceed breakpoint #2.
			VirtualSalesPeriod.PRPSalesPastBreakpoint3	Sales Past Breakpoint #3	True	Calculates the amount of sales that exceed breakpoint #3.	Calculates the amount of sales that exceed breakpoint #3.
			VirtualSalesPeriod.PRPSalesPastBreakpoint4	Sales Past Breakpoint #4	True	Calculates the amount of sales that exceed breakpoint #4.	Calculates the amount of sales that exceed breakpoint #4.
			VirtualSalesPeriod.PRPSalesPastBreakpoint5	Sales Past Breakpoint #5	True	Calculates the amount of sales that exceed breakpoint #5.	Calculates the amount of sales that exceed breakpoint #5.
			VirtualSalesPeriod.PRPSalesPastBreakpoint6	Sales Past Breakpoint #6	True	Calculates the amount of sales that exceed breakpoint #6.	Calculates the amount of sales that exceed breakpoint #6.
			VirtualSalesPeriod.PRPSalesPastBreakpoint7	Sales Past Breakpoint #7	True	Calculates the amount of sales that exceed breakpoint #7.	Calculates the amount of sales that exceed breakpoint #7.
			VirtualSalesPeriod.PRPSalesPastBreakpoint8	Sales Past Breakpoint #8	True	Calculates the amount of sales that exceed breakpoint #8.	Calculates the amount of sales that exceed breakpoint #8.
			VirtualSalesPeriod.PeriodBeginDate	Sales Period Begin Date	True	The period begin date.	The period begin date.
			VirtualSalesPeriod.PeriodEndDate	Sales Period End Date	True	The period end date.	The period end date.
			VirtualSalesPeriod.PRPTotalRent	Total Rent	True	The total rent up to and including the current sales period.	The total rent up to and including the current sales period.
			VirtualSalesPeriod.PRPRentDue	Total Rent Due	True	Calculates the total percentage rent due.	Calculates the total percentage rent due.
		Scheduled Offset Expense Types					
			LinkSchedOffsetExpGrpType.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the <b>Contract</b> > <b>Details</b> > <b>Summary</b> page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the <b>Contract</b> > <b>Details</b> > <b>Summary</b> page.
			LinkSchedOffsetExpGrpType.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			LinkSchedOffsetExpGrpType.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			LinkSchedOffsetExpGrpType.CodeExpenseGroupID	Expense Group	False	The Expense Group field allows you to associate your record with a pre-configured expense group. Expense groups are used to categorize expense types.	The Expense Group field allows you to associate your record with a pre-configured expense group. Expense groups are used to categorize expense types.
			LinkSchedOffsetExpGrpType.CodeExpenseTypeID	Expense Type	True	The Expense Type field allows you to associate your record with a pre-configured expense type. Expense Types are used to associate records with lease accounting schedules, AP export numbers, expense accrual accounts, percentage rent accrual accounts, and real estate tax accounts.	The Expense Type field allows you to associate your record with a pre-configured expense type. Expense Types are used to associate records with lease accounting schedules, AP export numbers, expense accrual accounts, percentage rent accrual accounts, and real estate tax accounts.
			LinkSchedOffsetExpGrpType.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			LinkSchedOffsetExpGrpType.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			LinkSchedOffsetExpGrpType.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			LinkSchedOffsetExpGrpType.ScheduledOffsetID	Scheduled Offset	True	The ID of the scheduled offset record.	The ID of the scheduled offset record.
			LinkSchedOffsetExpGrpType.BOMapClientRecordID	Scheduled Offset Expense Type ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			LinkSchedOffsetExpGrpType.LinkSchedOffsetExpGrpTypeID	Scheduled Offset Expense Type RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
		Scheduled Offsets					
			ScheduledOffset.AmountAllocated	Amount Allocated	True	This field automatically calculates the amount that has been applied to transactions so far.	This field automatically calculates the amount that has been applied to transactions so far.
			ScheduledOffset.AmountNotAllocated	Amount Not Allocated	True	This field automatically calculates the remaining balance of the offset.	This field automatically calculates the remaining balance of the offset.
			ScheduledOffset.BeginDate	Begin Date	True	The Begin Date field allows you to select a begin date for the record.	The Begin Date field allows you to select a begin date for the record.
			ScheduledOffset.CapAmountPerMonth	Cap Amount Per Month	True	Enter the cap amount per month in this field.	Enter the cap amount per month in this field.
			ScheduledOffset.CapPercent	Cap Percent	True	Enter the cap percentage in this field.	Enter the cap percentage in this field.
			ScheduledOffset.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.
			ScheduledOffset.CreatedByID	Created By	True	The Created By field is a system-populated field which captures the name of the member making changes to a record.	The Created By field is a system-populated field which captures the name of the member making changes to a record.
			ScheduledOffset.CreatedDate	Created Date	True	The Created Date field is a system-populated field which captures the date that a record was created.	The Created Date field is a system-populated field which captures the date that a record was created.
			ScheduledOffset.CodeCurrencyTypeID	Currency Type	True	The Currency Type field allows you to select a currency type to be used on a record.	The Currency Type field allows you to select a currency type to be used on a record.
			ScheduledOffset.EndDate	End Date	True	The End Date field allows you to select an end date for the record.	The End Date field allows you to select an end date for the record.
			ScheduledOffset.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			ScheduledOffset.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			ScheduledOffset.Notes	Notes	False	Add any notes about the record.	Add any notes about the record.
			ScheduledOffset.RevNumber	Rev Number	True	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.	The Rev Number field indicates how many times a record has been modified. This value of the field increases by 1 each time the record is modified.
			ScheduledOffset.BOMapClientRecordID	Scheduled Offset ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			ScheduledOffset.ScheduledOffsetID	Scheduled Offset RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			ScheduledOffset.TotalAmount	Total Amount	True	Enter the total amount of the offset in this field.	Enter the total amount of the offset in this field.
			ScheduledOffset.VendorID	Vendor	True	Select the vendor associated with this offset from the field.	Select the vendor associated with this offset from the field.
		Security Deposit					
			SecurityDeposit.AccountNumber	Account Number	False	 Enter the account number of the account where the security deposit is held in this field.	 Enter the account number of the account where the security deposit is held in this field.
			SecurityDeposit.AmendmentID	Amendment	False	Select the amendment that the record is associated with from this field.	Select the amendment that the record is associated with from this field.
